symbol,signal_date,entry_date,entry_price,volume_mult,range_position,ema_pct,nifty_change,breadth_pct,regime_ok,exit_1d,exit_3d,exit_5d,ret_1d,ret_3d,ret_5d
BANDHANBNK.NS,2021-06-21,2021-06-22,343.0,3.849308658455531,0.912016450664379,7.844887314436157,0.40265882096546246,62.5,True,342.1499938964844,333.3999938964844,346.70001220703125,-0.24781519052933673,-2.798835598692602,1.0787207600674198
BANDHANBNK.NS,2022-09-13,2022-09-14,291.0,2.004783013282293,0.9078001597302334,4.41362549626601,0.7454201929980142,87.89808917197452,True,306.54998779296875,288.79998779296875,293.29998779296875,5.3436384168277495,-0.756017940560567,0.7903738120167526
BANDHANBNK.NS,2023-09-15,2023-09-18,249.3000030517578,2.128234224547863,0.9174766414674507,5.4346756510780505,0.44396138771742866,82.80254777070064,True,246.60000610351562,245.5,252.9499969482422,-1.0830312535863202,-1.5242691557323744,1.464097012356069
BANDHANBNK.NS,2025-06-06,2025-06-09,175.3000030517578,2.3697003406362733,0.9130443266320775,3.4356294664068097,1.018752395450262,79.74683544303798,True,186.24000549316406,182.47000122070312,175.19000244140625,6.240731460898026,4.090130087920393,-0.06274991924505816
CHOLAFIN.NS,2021-08-02,2021-08-03,522.9000244140625,4.760552485141929,0.9584038846943788,4.325522992336483,0.7746000136419795,64.05228758169935,True,516.6500244140625,539.6500244140625,520.7000122070312,-1.1952571635473646,3.203289198306937,-0.42073285605531985
CHOLAFIN.NS,2025-09-16,2025-09-17,1575.300048828125,2.9059018932893803,0.9297523787745549,5.5890621783724095,0.6777256391098607,82.91139240506328,True,1573.4000244140625,1590.9000244140625,1623.800048828125,-0.12061349299620344,0.9902859837744825,3.0787785499073292
MUTHOOTFIN.NS,2021-07-05,2021-07-06,1568.0,2.4197798340669823,0.9228912721197289,6.130029710862296,0.7133188273225066,71.05263157894737,True,1535.199951171875,1533.25,1558.4000244140625,-2.0918398487324614,-2.2161989795918364,-0.6122433409398916
MUTHOOTFIN.NS,2021-07-22,2021-07-23,1616.0,2.117138652913076,0.9081253051757813,4.873779710183198,1.2279233123449584,59.86842105263158,True,1567.050048828125,1560.449951171875,1563.050048828125,-3.029081136873453,-3.4375030215423887,-3.276605889348701
MUTHOOTFIN.NS,2023-11-29,2023-11-30,1418.3499755859375,3.050141660073076,0.9209395578694406,6.887908148157471,1.040238911355451,85.35031847133759,True,1481.9000244140625,1464.8499755859375,1432.199951171875,4.480561915042985,3.27845741886027,0.9764850582957079
MANAPPURAM.NS,2022-04-01,2022-04-04,122.0,2.1320056728891035,0.9108274250059528,2.20828161793874,1.1777965258592316,85.8974358974359,True,121.9000015258789,122.80000305175781,122.5999984741211,-0.08196596239433913,0.6557402063588627,0.4918020279681096
MANAPPURAM.NS,2025-06-06,2025-06-09,250.97999572753906,4.417001701417714,0.9072096270966835,5.8991559043254735,1.018752395450262,79.74683544303798,True,264.7799987792969,268.32000732421875,279.5400085449219,5.498447400859363,6.908921783353524,11.379398080947944
HDFCAMC.NS,2020-02-06,2020-02-07,1672.5,2.622829769972482,0.9002366464801358,3.99011366284973,0.40366612301674376,60.0,True,1656.949951171875,1662.074951171875,1673.324951171875,-0.9297488088565022,-0.6233213051195815,0.04932443479073244
HDFCAMC.NS,2021-07-15,2021-07-16,1564.0,4.015162906084847,0.9251717403017241,4.547279205496347,0.4431072328003882,69.07894736842105,True,1547.2249755859375,1438.824951171875,1449.800048828125,-1.072571893482257,-8.003519746043798,-7.301787159327046
HDFCAMC.NS,2023-05-26,2023-05-29,925.0250244140625,3.816877107063756,0.9552395767712739,3.136774636682138,0.9726420827874671,74.52229299363057,True,936.875,981.5250244140625,982.4500122070312,1.2810437851066372,6.107942867360667,6.207938842448439
HDFCAMC.NS,2025-05-15,2025-05-16,2360.0,2.25240030377509,0.9364437181122449,7.192004595807427,1.6021438141461841,85.44303797468355,True,2368.64990234375,2382.699951171875,2392.300048828125,0.3665212857521187,0.9618623377913136,1.3686461367849576
HDFCAMC.NS,2025-07-15,2025-07-16,2642.0,2.5024622309694675,0.9129287598944591,3.952366858376465,0.4525103218794291,62.0253164556962,True,2676.75,2795.0,2796.25,1.3152914458743377,5.79106737320212,5.838380015140046
HDFCLIFE.NS,2021-11-12,2021-11-15,723.9500122070312,2.1329341416525933,0.9186032895087028,2.599531574924054,1.2820606684330382,60.3896103896104,True,714.5999755859375,711.0499877929688,688.8499755859375,-1.2915306945833545,-1.7818943568680294,-4.84840610943398
HDFCLIFE.NS,2022-11-24,2022-11-25,575.0,3.4358664225265434,0.9573560989575878,6.078858853941927,1.1870949889830174,60.509554140127385,True,586.5999755859375,584.8499755859375,596.4500122070312,2.017387058423913,1.7130392323369565,3.730436905570652
SBILIFE.NS,2023-05-04,2023-05-05,1172.0,2.1597857520065586,0.9256428589952098,3.4755709172763147,0.9173717607303677,90.44585987261146,True,1173.699951171875,1183.1500244140625,1185.4000244140625,0.14504702831697952,0.9513672708244454,1.1433467930087458
SBILIFE.NS,2024-08-20,2024-08-21,1761.300048828125,2.514466497928903,0.9031107060777415,4.422371882862505,0.5135759339910173,62.65822784810127,True,1800.5999755859375,1789.300048828125,1838.949951171875,2.2313022011190298,1.5897348108648328,4.408669743432648
ICICIPRULI.NS,2024-06-13,2024-06-14,599.0,2.009652700364655,0.901211597669834,3.8272315465872238,0.32564994745150067,91.77215189873418,True,613.7000122070312,601.8499755859375,604.4000244140625,2.4540921881521287,0.47578891251043404,0.9015065799770451
ICICIGI.NS,2022-11-24,2022-11-25,1175.0,2.2175621282974203,0.9695719268861792,2.2562032051612766,1.1870949889830174,60.509554140127385,True,1159.3499755859375,1175.699951171875,1224.5999755859375,-1.3319169714095744,0.0595703125,4.221274517952128
ICICIGI.NS,2023-06-27,2023-06-28,1328.0,2.314423024105385,0.9211191133898509,6.882598816472578,0.675190341711196,61.146496815286625,True,1332.699951171875,1338.0999755859375,1327.0999755859375,0.35391198583396083,0.760540330266378,-0.06777292274567018
ICICIGI.NS,2024-02-27,2024-02-28,1726.0,5.21878492581951,0.9055374592833876,7.036067062080201,0.3448994348646428,60.509554140127385,True,1724.449951171875,1643.8499755859375,1652.449951171875,-0.08980584172219003,-4.759561090038384,-4.261300627353708
ICICIGI.NS,2025-04-16,2025-04-17,1815.0,3.3926833374022403,0.9156297169253835,2.072918912259218,0.4657316201027051,76.58227848101265,True,1793.4000244140625,1845.199951171875,1880.300048828125,-1.1900812995006889,1.6639091554752066,3.5977988335055096
ICICIGI.NS,2025-06-06,2025-06-09,2014.9000244140625,3.0947283422879184,0.9494376965747453,7.142967135395782,1.018752395450262,79.74683544303798,True,2021.4000244140625,1942.0,1940.699951171875,0.32259665101201307,-3.6180467284108544,-3.682568481965504
RECLTD.NS,2023-04-28,2023-05-02,133.89999389648438,3.7836833876487694,0.9655172050920211,7.501839356940204,0.8370013603697934,85.98726114649682,True,136.4499969482422,136.89999389648438,133.60000610351562,1.9044086392783357,2.240478070760216,-0.22403869054741338
